"product_name","product_url","product_instock","product_price"
"Treatlife Smart Light Switch（Neutral Wire Required), 2.4Ghz Wi-Fi Light Switch, Works with Alexa and Google Assistant, Schedule, Remote Control, Single Pole, ETL Listed (1 PACK)","https://www.amazon.com/Treatlife-Smart-Light-Switch-Assistant/dp/B07R7PCCT9/ref=sr_1_40?keywords=smart+light&qid=1581539632&sr=8-40","In Stock.","17."
"Kasa 3-way Smart Light Switch, WiFi Smart Switch Works with Alexa Echo & Google Home, No Hub Required, Neutral Wire Needed (HS210)","https://www.amazon.com/Switch-Google-Required-Neutral-HS210/dp/B083JKTMYQ/ref=sr_1_41?keywords=smart+light&qid=1581539632&sr=8-41","In Stock.","24."
"3-way Smart Light Switch, Neutral Wire Required, Treatlife WiFi Light Switch Single Pole/3-way Switch Works With Alexa, Google Assistant, Remote Control, ETL, Schedule, 1 PACK","https://www.amazon.com/Treatlife-Assistant-Control-Schedule-Required/dp/B07V4X7BRT/ref=sr_1_42?keywords=smart+light&qid=1581539632&sr=8-42","In Stock.","27."
"TP-Link Kasa Smart WiFi Light Bulb, Multicolor - Smart LED Light Bulbs, Works with Alexa & Google (KL130)","https://www.amazon.com/Kasa-Smart-Light-Multicolor-TP-Link/dp/B07FZ6PLJG/ref=sr_1_43?keywords=smart+light&qid=1581539632&sr=8-43","In Stock.","29."
"NiteBird Smart TV Backlight Work with Alexa Google Home,Sync to Music WiFi LED TV light 9.2Ft Kit for 32'' to 60'' TV, Waterproof 5050 RGB Strip Light with Controller, Dimmable","https://www.amazon.com/NiteBird-Backlight-Waterproof-Controller-Dimmable/dp/B07XCVGL42/ref=sr_1_44?keywords=smart+light&qid=1581539632&sr=8-44","In Stock.","17."
"Philips Hue Go Portable Table Lamp","https://www.amazon.com/Philips-Hue-Portable-Dimmable-Assistant/dp/B00UVHAC1O/ref=sr_1_45?keywords=smart+light&qid=1581539632&sr=8-45","Available from these sellers.",""
"Wemo Wi-Fi Light Switch 3-Way 2-Pack Bundle - Control Lighting from Anywhere, Easy In-Wall Installation, Works with Alexa, Google Assistant and Apple HomeKit (WLS0403-BDL)","https://www.amazon.com/Wi-Fi-Light-Switch-2-Pack-Bundle/dp/B07NPZVYR1/ref=sr_1_46?keywords=smart+light&qid=1581539632&sr=8-46","In Stock.","77."
"Smart LED RGB Light Bulb - Aoycocr 10W A21 E26 Soft White (2700K) Multicolor - 900 Lumens (85W Equivalent) - Compatible with Amazon Alexa and Google Assistant, No Hub Required (4 Pack)","https://www.amazon.com/Smart-LED-RGB-Light-Bulb/dp/B07T8DRZZ5/ref=sr_1_47?keywords=smart+light&qid=1581539632&sr=8-47","In Stock.","40."
"Bali Women's Comfort Revolution Wirefree Bra with Smart Sizes Bra","https://www.amazon.com/Bali-Womens-Comfort-Revolution-Wirefree/dp/B00BNBBHW0/ref=sr_1_48?dchild=1&keywords=smart+light&qid=1581539632&sr=8-48","","16."
"LED Candelabra Bulbs E12 Base, Color Changing and Dimmable Smart Light Bulb, Compatible with Alexa Google Home IFTTT, Tunable White Chandelier Light Bulbs 320 lm 35w Equivalent, 3 Pack","https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B081L4Q5HH/ref=sr_1_49?keywords=smart+light&qid=1581540256&sr=8-49","In Stock.","28."
